id;names;surnames;directions;telephone;cell_phone;mail;city
1;European;IB;contingencia Avon e-tailers;16917;3061;Seguridada;South Jordan
2;bandwidth;redundant;Borders Guapa partnerships;82624;31368;Holanda basado;Huntsville
3;Marroquinería;Teclado SAS;Increible networks;59676;44453;applications;Segoviatown
4;alarm;Guapo;Ladrillo Acero Coche;71456;62551;Salud withdrawal Jordania;Tarragona Alfonso
5;paralelismo synthesizing;Refinado synthesize;program;78677;14349;Global;Franciscohaven
6;cross-media maximizada;initiatives Barbados;withdrawal Card Dinánmico;28234;12885;Investigación world-class;Cerdañola del Vallés Felipe
7;moderador Bricolaje Calidad;Cara Facilitador;mobile mobile Opcional;73186;92542;Guantes Comunidad;Alicante Javiermouth
8;backing;Aldea indexing;digital Agente invoice;5868;10929;Arquitecto Poland Credit;Faríasville
9;Dram;Azul mano Madera;San Inteligente withdrawal;78121;2668;Tailandia Verde;Gabrielamouth
10;Bhutanese up;synthesize Senda;reboot Artesanal;57726;16791;navigating RAM deposit;Jorge Luisborough
